CustomerID,TotalSpent,NumPurchases,AvgBasketSize,AvgOrderValue,UniqueProducts
12346.0,77183.6,1,74215.0,77183.6,1
12347.0,4310.0,7,13.505494505494505,23.681318681318682,103
12348.0,1797.24,4,75.51612903225806,57.97548387096774,22
12349.0,1757.55,1,8.643835616438356,24.076027397260273,73
12350.0,334.4,1,11.588235294117647,19.670588235294115,17
12352.0,2506.04,8,6.305882352941176,29.482823529411764,59
12353.0,89.0,1,5.0,22.25,4
12354.0,1079.4,1,9.137931034482758,18.610344827586207,58
12355.0,459.4,1,18.46153846153846,35.33846153846154,13
12356.0,2811.43,3,26.966101694915253,47.65135593220339,53
12357.0,6207.67,1,20.671755725190838,47.38679389312977,131
12358.0,1168.06,2,13.052631578947368,61.47684210526315,13
12359.0,6310.03,4,6.56734693877551,25.755224489795918,214
12360.0,2662.06,3,9.031007751937985,20.63612403100775,105
12361.0,189.9,1,9.1,18.990000000000002,10
12362.0,5226.23,10,8.3796992481203,19.647481203007516,201
12363.0,552.0,2,17.73913043478261,24.0,23
12364.0,1313.1,4,17.71764705882353,15.448235294117646,70
12365.0,641.38,2,7.909090909090909,29.153636363636362,22
12367.0,168.9,1,15.727272727272727,15.354545454545455,11
12370.0,3541.94,4,14.168674698795181,21.33698795180723,143
12371.0,1887.96,2,9.380952380952381,29.96761904761905,63
12372.0,1298.04,3,15.26923076923077,24.962307692307693,34
12373.0,364.6,1,14.071428571428571,26.042857142857144,14
12374.0,742.9300000000001,1,10.363636363636363,22.513030303030305,33
12375.0,457.5,2,10.470588235294118,26.91176470588235,14
12377.0,1628.12,2,12.25974025974026,21.144415584415583,72
12378.0,4008.62,1,11.547945205479452,18.30420091324201,219
12379.0,852.24,2,10.175,21.306,39
12380.0,2724.81,4,10.836538461538462,26.200096153846154,77
12381.0,1845.31,5,9.28735632183908,21.21045977011494,70
12383.0,1850.56,5,15.474747474747474,18.69252525252525,84
12384.0,585.27,2,4.666666666666667,21.676666666666666,26
12386.0,401.9,2,35.4,40.19,10
12388.0,2780.66,6,14.62,27.8066,57
12390.0,549.84,1,11.03125,17.1825,32
12391.0,439.66,1,3.150537634408602,4.72752688172043,92
12393.0,1582.6000000000001,4,12.75,24.728125000000002,47
12394.0,1272.48,2,30.333333333333332,47.12888888888889,26
12395.0,3018.63,12,13.576923076923077,19.350192307692307,91
12397.0,2409.9,2,10.023809523809524,19.126190476190477,110
12398.0,1635.6599999999999,1,16.4,19.24305882352941,85
12399.0,1108.65,4,19.966101694915253,18.790677966101697,47
12401.0,84.3,1,2.2,16.86,5
12402.0,225.6,1,8.545454545454545,20.509090909090908,11
12403.0,427.7,1,19.2,85.53999999999999,5
12405.0,1710.39,1,15.87037037037037,31.67388888888889,54
12406.0,3415.3,2,17.314285714285713,32.52666666666667,92
12407.0,1708.1200000000001,5,18.38961038961039,22.183376623376624,57
12408.0,2888.55,5,13.41904761904762,27.51,81
12409.0,11072.67,3,50.92660550458716,101.58412844036697,91
12410.0,693.3299999999999,2,8.115384615384615,26.666538461538458,26
12412.0,1226.88,3,13.59016393442623,20.112786885245903,43
12413.0,758.1,3,7.526315789473684,19.95,29
12414.0,562.41,3,16.666666666666668,31.244999999999997,16
12415.0,124914.53,21,108.36694677871148,174.95032212885152,444
12417.0,3649.1,9,8.083333333333334,19.005729166666665,158
12418.0,668.58,1,11.970588235294118,19.664117647058823,34
12420.0,600.39,1,11.89655172413793,20.70310344827586,29
12421.0,807.04,4,10.755555555555556,17.93422222222222,32
12422.0,803.5600000000001,3,9.487179487179487,20.604102564102565,39
12423.0,1859.31,8,10.712,14.87448,97
12424.0,1760.96,2,24.666666666666668,58.69866666666667,30
12425.0,777.2,1,13.777777777777779,21.58888888888889,36
12426.0,582.73,1,8.6,19.424333333333333,30
12427.0,825.8,3,17.193548387096776,26.638709677419353,26
12428.0,7956.46,9,12.02721088435374,27.062789115646257,258
12429.0,3750.4,4,16.051546391752577,38.66391752577319,82
12430.0,256.4,1,10.636363636363637,23.30909090909091,11
12431.0,6419.95,15,12.376068376068377,27.43568376068376,163
12432.0,5059.32,5,16.675925925925927,46.845555555555556,107
12433.0,13375.87,7,26.35952380952381,31.847309523809525,219
12434.0,806.14,2,7.88,16.122799999999998,46
12435.0,7829.89,2,57.083333333333336,217.49694444444447,31
12436.0,509.01,1,13.1875,31.813125,16
12437.0,4951.41,18,14.683417085427136,24.88145728643216,118
12438.0,2906.85,2,12.040816326530612,29.66173469387755,84
12441.0,173.55,1,11.0,15.77727272727273,11
12442.0,172.06,1,15.166666666666666,14.338333333333333,12
12444.0,5005.46,5,6.551136363636363,28.440113636363638,138
12445.0,133.4,1,15.5,33.35,4
12446.0,1002.3100000000001,1,6.157894736842105,17.584385964912283,57
12447.0,476.49,1,7.3076923076923075,18.326538461538462,26
12448.0,449.45,1,11.045454545454545,20.429545454545455,22
12449.0,4067.29,4,8.13089005235602,21.294712041884818,118
12450.0,197.88,2,16.0,24.735,7
12451.0,9035.52,5,18.573446327683616,25.524067796610172,265
12452.0,430.57,2,8.409090909090908,19.571363636363635,21
12453.0,707.09,1,11.0,16.443953488372095,43
12454.0,3528.34,1,67.06666666666666,235.22266666666667,15
12455.0,2466.86,6,23.211111111111112,27.409555555555556,85
12456.0,3181.04,3,13.064,25.44832,105
12457.0,2363.23,7,13.596774193548388,38.11661290322581,53
